Y Real,Y Predicho
898000000.0,893723850.6312418
164999000.0,117060331.59529543
1700000000.0,1173885313.8281722
280000000.0,159736176.9031
250000000.0,193330093.0950489
420000000.0,615753366.695827
800000000.0,956612228.6542315
361000000.0,419769704.9445319
510000000.0,552387802.9833708
430000000.0,386879469.36617374
235000000.0,275511004.98689795
283000000.0,166134034.91716862
440000000.0,399759511.8827429
320000000.00000006,298087801.2399764
510000000.0,491955825.3360548
200000000.0,159915381.79444504
135000000.0,240715843.732419
550000000.0,496957918.0738425
350000000.0,608147218.8460846
1200000000.0,1355550344.491661
284000000.0,226420448.87704659
170000000.0,49068454.38198471
258000000.0,225849548.99103785
730000000.0,746416794.7817092
1050000000.0,1195021289.8966103
2300000000.0,1369515881.8439813
320000000.00000006,262757382.5388999
154999999.99999997,156457671.96997643
140000000.0,51226050.842163086
289000000.0,377123920.5256982
695000000.0,753252372.086863
189900000.0,297174452.66576195
820000000.0,970126613.4911342
850000000.0,812658694.3201709
225000000.0,218419725.7943039
205000000.0,292178723.5142369
695000000.0,723772898.2837014
450000000.0,382676025.9332123
260000000.0,304818164.648901
200000000.0,296357162.98524
440000000.0,663539687.6593938
490000000.0,438096636.32721186
280500000.0,533118679.4713111
380000000.0,683497789.3889985
830000000.0,688140086.0821209
460000000.0,766611288.3681297
460000000.0,535553161.01457024
240000000.0,236719974.72700262
430000000.0,363979127.41721773
980000000.0,898077142.1699891
380000000.0,465317062.5923166
260000000.0,250521082.36437607
600000000.0,775913101.8858795
440000000.0,536166761.5566921
125000000.0,66869015.71576834
363000000.0,503839136.8571429
950000000.0,1176401678.5324755
540000000.0,710385600.0976558
800000000.0,1130845829.6458945
140000000.0,118403969.60616875
185000000.0,124662428.12857294
500000000.0,537416150.2846551
225000000.0,313725459.548542
390000000.0,669199146.862678
210000000.0,174760308.7112751
100000000.0,16965536.11581707
139990000.0,223126584.30726004
640000000.0000001,776906960.5258489
320000000.00000006,421034266.86513805
1080000000.0,964840951.5090365
370000000.0,527890288.4062357
970000000.0,877423984.1451964
2300000000.0,1452474739.1253366
380000000.0,474642120.0717602
250000000.0,399420897.96518517
200000000.0,338732633.08183575
565370600.0,514555516.38831854
500000000.0,695733359.2500682
204999000.0,124291075.06304502
185000000.0,180210579.1045308
154999999.99999997,195406271.73649168
460000000.0,378234436.50449276
850000000.0,808767376.0263572
160000000.00000003,167726950.79926777
370000000.0,494063021.59339094
1100000000.0,836950815.448278
285000000.0,58385739.56041813
165000000.0,73469231.20793629
1270000000.0,1169528036.0828428
350000000.0,495583560.4477639
330000000.0,257521775.7298293
660000000.0,1097375938.33629
1190000000.0,923300083.4658103
470000000.0,710253349.3568964
265000000.00000003,317735378.41034794
1400000000.0,1191571863.6729112
180000000.0,215100787.61585188
540000000.0,552697626.24932
210000000.0,462525941.35309505
230000000.0,248169449.81874514
1350000000.0,1221735193.9968266
463000000.0,402200703.013185
325000000.00000006,212242993.43890858
260000000.0,194417347.66262722
295000000.0,453661650.2694216
465000000.0,460890050.9212823
250000000.0,228292663.91136885
440000000.0,504073285.2845216
650000000.0000001,702770600.4935412
480000000.0,350879197.001637
1050000000.0,1088262624.7855477
250000000.0,148935292.81924486
210000000.0,150947956.1739993
390000000.0,623371353.9749055
145000000.0,149657672.4165721
875000000.0,1339656007.7195387
560000000.0,707153335.3475366
160000000.00000003,351293660.8492217
590000000.0,490341970.0145254
165000000.0,154482748.68515778
240000000.0,199448667.21156263
410000000.0,636568417.3019137
205000000.0,268025459.42089367
145000000.0,83547862.22607994
535000000.0,379284039.2511816
290000000.0,323603641.4064412
770000000.0,692476702.4319425
680000000.0,655376803.7193913
225000000.0,195609786.35130215
1200000000.0,1191250186.7059183
780000000.0,928437819.9476829
350000000.0,397584589.22419834
480000000.0,385773719.44611216
600000000.0,507769020.85662174
250000000.0,267790036.26976633
375000000.0,426490141.4916005
390000000.0,245078457.54328632
285000000.0,217476111.34408236
895000000.0,1077059466.9111457
145000000.0,150279270.19046545
430000000.0,80273180.12706947
165000000.0,194759567.19409132
1767220000.0,965535561.7875476
580000000.0,640750081.7309151
275000000.0,359084149.2070432
290000000.0,281139256.5747328
509900000.0,703334471.5545597
250000000.0,56472857.27598715
676967200.0,730924830.8884616
145000000.0,191984045.20261002
180000000.0,150432726.55844164
230000000.0,59268041.48818874
330000000.0,271096125.88160133
850000000.0,1016008857.1503038
450000000.0,638247472.2959347
1075000000.0,876035260.7939162
800000000.0,885534080.2237515
420000000.0,601325575.6276989
245000000.0,226872583.1328354
685000000.0,733939630.6796837
619999999.9999999,754889630.777947
328000000.0,91204357.09221363
1440000000.0,1291023458.4630547
400000000.0,639071132.0841646
185000000.0,203553783.15961218
154999999.99999997,172528046.208189
130000000.0,128796905.55674458
320000000.00000006,393967881.08979607
440000000.0,569279758.7481737
270000000.0,338827832.1480174
168000000.0,168821960.3339858
930000000.0,913191598.2306485
190000000.0,322975062.6333933
130000000.0,49574341.08245993
290000000.0,466724300.5011678
190000000.0,183954352.65168333
1100000000.0,1310455723.330573
780000000.0,584967374.4600005
450000000.0,248105472.04356956
350000000.0,261070520.37290955
225000000.0,281600946.7237444
700000000.0,833768683.006577
590000000.0,715135442.7525916
130000000.0,104680451.7374816
550000000.0,787338181.9829125
220000000.0,154725663.71249676
565000000.0,552619466.5525131
154999999.99999997,143122120.52443075
590000000.0,669126030.9459319
630000000.0000001,597477739.2577052
630000000.0000001,789293308.8099952
758000000.0,700477207.4949474
133000000.0,98064437.48740149
236000000.0,223173445.53466272
526049000.0,610025719.6780496
270000000.0,278936802.5128355
320000000.00000006,411986271.7269926
280000000.0,378999664.3296251
380000000.0,287151012.3945961
230000000.0,216156184.83529615
390000000.0,403668008.2562156
175000000.0,108968660.7534275
480000000.0,644651922.0575619
150000000.0,36831514.27458286
580000000.0,438379243.7120843
330000000.0,577246306.5553651
170000000.0,159406053.6399989
480000000.0,764957117.2138238
460000000.0,534462765.31382275
290000000.0,302778008.84789467
370000000.0,396025605.1682792
530000000.00000006,584786911.9272728
320000000.00000006,249521545.60506153
1250000000.0,428419676.7392483
360000000.0,271784253.38579273
270000000.0,224472159.701684
185000000.0,259449360.97309923
1950000000.0,1640710867.8112402
1400000000.0,1302810760.2883697
