Y Real,Y Predicho
898000000.0,880890400.0
164999000.0,162561140.0
1700000000.0,1737907100.0
280000000.0,251412510.0
250000000.0,244717250.0
420000000.0,418405250.0
800000000.0,884036600.0
361000000.0,339090500.0
510000000.0,545743000.0
430000000.0,422109470.0
235000000.0,270757630.0
283000000.0,244825970.0
440000000.0,454500130.0
320000000.00000006,317959870.0
510000000.0,554349630.0
200000000.0,169404530.0
135000000.0,204679410.0
550000000.0,447929440.0
350000000.0,397040640.0
1200000000.0,1499398700.0
284000000.0,278275900.0
170000000.0,124442856.0
258000000.0,231607740.0
730000000.0,727582460.0
1050000000.0,1144504600.0
2300000000.0,1909962500.0
320000000.00000006,274048830.0
154999999.99999997,156694770.0
140000000.0,146038320.0
289000000.0,238534160.0
695000000.0,862422140.0
189900000.0,223942030.0
820000000.0,864684000.0
850000000.0,837692000.0
225000000.0,213376480.0
205000000.0,222711900.0
695000000.0,772576600.0
450000000.0,403786100.0
260000000.0,296503650.0
200000000.0,213674640.0
440000000.0,544119800.0
490000000.0,482397820.0
280500000.0,358781920.0
380000000.0,469819900.0
830000000.0,754230140.0
460000000.0,461746080.0
460000000.0,393520540.0
240000000.0,233101840.0
430000000.0,428706340.0
980000000.0,944253440.0
380000000.0,332416830.0
260000000.0,315404600.0
600000000.0,671007000.0
440000000.0,449977730.0
125000000.0,134034480.0
363000000.0,383470240.0
950000000.0,1046453300.0
540000000.0,582741800.0
800000000.0,974913600.0
140000000.0,209413090.0
185000000.0,198441440.0
500000000.0,434093820.0
225000000.0,273588800.0
390000000.0,483268350.0
210000000.0,215221680.0
100000000.0,120657440.0
139990000.0,160969580.0
640000000.0000001,750758300.0
320000000.00000006,320105440.0
1080000000.0,783369150.0
370000000.0,359777820.0
970000000.0,816653440.0
2300000000.0,1480163600.0
380000000.0,456992770.0
250000000.0,348325700.0
200000000.0,273587840.0
565370600.0,388516350.0
500000000.0,538612740.0
204999000.0,175889600.0
185000000.0,187913280.0
154999999.99999997,159059630.0
460000000.0,498583360.0
850000000.0,796139100.0
160000000.00000003,244715460.0
370000000.0,461593800.0
1100000000.0,786663500.0
285000000.0,286299900.0
165000000.0,150681940.0
1270000000.0,1071428030.0
350000000.0,376200220.0
330000000.0,277153700.0
660000000.0,567601500.0
1190000000.0,1036690370.0
470000000.0,552803900.0
265000000.00000003,323950430.0
1400000000.0,1377755000.0
180000000.0,165703940.0
540000000.0,558751170.0
210000000.0,295116860.0
230000000.0,240673020.0
1350000000.0,1105002600.0
463000000.0,364519700.0
325000000.00000006,422010270.0
260000000.0,211273150.0
295000000.0,310016260.0
465000000.0,472567700.0
250000000.0,262331680.0
440000000.0,394084960.0
650000000.0000001,700021250.0
480000000.0,380151900.0
1050000000.0,1061429100.0
250000000.0,246551300.0
