Ciudad,Barrio,Sector,Latitud media,Longitud media
Barranquilla,Atlantico,No Especificado,10.9885431925456,-74.80087738037109
Barranquilla,Balcones De San Jose Ciudad Jardin,No Especificado,10.9920177459717,-74.8104553222656
Barranquilla,Barranquillita,No Especificado,11.002761840820323,-74.80855751037598
Barranquilla,Barriio La Pradera,No Especificado,11.0041227340698,-74.8069839477539
Barranquilla,Barrió Boston,No Especificado,10.9875297546387,-74.7890930175781
Barranquilla,Bella Vista,Metropolitana,10.9993356704712,-74.7929977416992
Barranquilla,Bella Vista,No Especificado,10.999077665394742,-74.79516259555159
Barranquilla,Bella Vista,Norte Centro Histórico,11.0002088703093,-74.79416014656186
Barranquilla,Bella Vista,Riomar,10.999506541660844,-74.79280090332031
Barranquilla,Bellavista El Prado,Norte Centro Histórico,11.0048799514771,-74.7979583740234
Barranquilla,Betania,Metropolitana,10.98913211822512,-74.81385040283199
Barranquilla,Betania,No Especificado,10.98965219172036,-74.80982934860955
Barranquilla,Betania,Norte Centro Histórico,10.989833367176557,-74.81357158314097
Barranquilla,Betania,Riomar,10.991521835327156,-74.81773445822976
Barranquilla,Betania,Sur Oriente,10.9870004653931,-74.8119964599609
Barranquilla,Betania Norte,Norte Centro Histórico,10.9840297698975,-74.806282043457
Barranquilla,Biston,No Especificado,10.9844331741333,-74.7959594726563
Barranquilla,Boston,Metropolitana,10.990139908260788,-74.79819046823602
Barranquilla,Boston,No Especificado,10.989934599244753,-74.79786621896844
Barranquilla,Boston,Norte Centro Histórico,10.99007875905874,-74.79731400985291
Barranquilla,Boston,Riomar,10.9870004653931,-74.8010025024414
Barranquilla,Boston,Sur Occidente,10.989136695861843,-74.79549407958983
Barranquilla,Boston,Sur Oriente,10.986762523651151,-74.7979965209961
Barranquilla,Buena Esperanza,No Especificado,10.966294833592,-74.80477033342632
Barranquilla,Buena Esperanza,Riomar,10.9619998931885,-74.8079986572266
Barranquilla,Buena Esperanza,Sur Occidente,10.9675123691559,-74.80887031555179
Barranquilla,Buena Vista,Metropolitana,11.01565570831299,-74.82748107910157
Barranquilla,Buena Vista,No Especificado,11.014965550652878,-74.82595088564116
Barranquilla,Buena Vista,Norte Centro Histórico,11.016241550445567,-74.8229832649231
Barranquilla,Buena Vista,Riomar,11.012766206965734,-74.82485807114755
Barranquilla,Buenavista Altos Del Limón,Riomar,11.0206499099731,-74.8276214599609
Barranquilla,Buenavista Celularwhasspp,No Especificado,11.0151147842407,-74.8277435302734
Barranquilla,Buenavista Edeficio Bali,No Especificado,11.0150947570801,-74.8277435302734
Barranquilla,Buenavista Edificio Brzzo,No Especificado,11.0177059173584,-74.8248138427734
Barranquilla,Buenavista Teléfonowhatsapp,No Especificado,11.0201921463013,-74.8242874145508
Barranquilla,Buevista,Norte Centro Histórico,11.0161666870117,-74.8239135742188
Barranquilla,Calle 79 Nro,No Especificado,10.9919147491455,-74.8145980834961
Barranquilla,Calle 94 Villamar,Metropolitana,11.0149583816528,-74.8224105834961
Barranquilla,Calle 98B 49D 18,Riomar,11.0094423294067,-74.8309631347656
Barranquilla,Calle La Libertad,Norte Centro Histórico,10.9934701919556,-74.8255004882813
Barranquilla,Campiña,Riomar,11.0031585693359,-74.8205490112305
Barranquilla,Campo Alegre,Metropolitana,10.9901008605957,-74.8282470703125
Barranquilla,Campo Alegre,No Especificado,10.988005638122555,-74.82972208658856
Barranquilla,Campo Alegre,Norte Centro Histórico,10.995485305786149,-74.82859039306643
Barranquilla,Campo Alegre,Sur Occidente,10.9891166687012,-74.8310012817383
Barranquilla,Campo Alegre Norte,Metropolitana,10.9860000610352,-74.8349990844727
Barranquilla,Campo Alegre Norte,Norte Centro Histórico,10.985800170898461,-74.83180084228518
Barranquilla,Campo Alegre Suroccidente,Norte Centro Histórico,10.9860000610352,-74.82200113932294
Barranquilla,Caribe Verde,Metropolitana,10.9829998016357,-74.8300018310547
Barranquilla,Caribe Verde,Sur Occidente,10.977999687194801,-74.8373336791992
Barranquilla,Caribe Verde,Sur Oriente,10.9829998016357,-74.8300018310547
Barranquilla,Carlos Meisel,No Especificado,10.97350025177,-74.8122863769531
Barranquilla,Castellana Buenavista,No Especificado,11.015270551045733,-74.83390553792316
Barranquilla,Castellana Del Mar,No Especificado,11.0210113525391,-74.8186569213867
Barranquilla,Castellana Del Mar,Riomar,11.0136098861694,-74.8351821899414
Barranquilla,Ceiba,No Especificado,10.9612464904785,-74.80746078491215
Barranquilla,Centro,Metropolitana,10.9820804595947,-74.78710174560547
Barranquilla,Centro,No Especificado,10.98462533950805,-74.7832984924316
Barranquilla,Centro,Norte Centro Histórico,10.9814500808716,-74.7854690551758
Barranquilla,Centro,Sur Occidente,10.986308097839368,-74.78476969401044
Barranquilla,Centro Comercial Unico,No Especificado,10.9888610839844,-74.8123931884766
Barranquilla,Centro Empresarial Del Caribe,Metropolitana,10.980999946594201,-74.7819976806641
Barranquilla,Cerca De Buenavista Y Del Malecon,No Especificado,11.0231809616089,-74.8105010986328
Barranquilla,Cevillar,Metropolitana,10.9607419967651,-74.80082448323567
Barranquilla,Cevillar,No Especificado,10.9880313873291,-74.80293528238931
Barranquilla,Cevillar,Norte Centro Histórico,10.97550773620605,-74.80040849958147
Barranquilla,Cevillar,Sur Occidente,10.9619998931885,-74.79847431182861
Barranquilla,Chiquinquira,Metropolitana,10.9739942550659,-74.7865753173828
Barranquilla,Chiquinquira,No Especificado,10.973951816558834,-74.78782145182292
Barranquilla,Chiquinquira,Norte Centro Histórico,10.974411249160775,-74.79844665527345
Barranquilla,Chiquinquira,Sur Occidente,10.97349631786345,-74.78751277923585
Barranquilla,Chiquinquira,Sur Oriente,10.973436673482267,-74.78622690836588
Barranquilla,Chiquinquirá Suroccidente,Norte Centro Histórico,10.9739999771118,-74.7910003662109
Barranquilla,Chiquinquirá Suroccidente,Sur Occidente,10.975333531697567,-74.78566741943364
Barranquilla,Chiquinquirá Suroccidente,Sur Oriente,10.9770002365112,-74.7870025634766
Barranquilla,Cisnero,Norte Centro Histórico,10.9991893768311,-74.7904739379883
Barranquilla,Ciudad,Norte Centro Histórico,10.9943618774414,-74.8264236450195
Barranquilla,Ciudad Caribe,No Especificado,11.00781059265135,-74.7809753417969
Barranquilla,Ciudad De Jardin,Norte Centro Histórico,10.9922142028809,-74.8206329345703
Barranquilla,Ciudad Del Mar,No Especificado,10.9606895446777,-74.8194580078125
Barranquilla,Ciudad Jardin Es Delos Mejores Y Tradicionales Barrios Del Norte De Cuenta Con Un Pulmó,No Especificado,10.9898910522461,-74.8183898925781
Barranquilla,Ciudad Jardin Norte,Norte Centro Histórico,10.9937772750854,-74.8171005249023
Barranquilla,Ciudad Jardín,Metropolitana,10.991816777449403,-74.81873497596153
Barranquilla,Ciudad Jardín,No Especificado,10.993098994802098,-74.81727607843234
Barranquilla,Ciudad Jardín,Norte Centro Histórico,10.992035319864137,-74.81822349146792
Barranquilla,Ciudad Jardín,Riomar,10.993927831235148,-74.81683762868245
Barranquilla,Ciudad Jardín,Sur Occidente,10.9914999008179,-74.8160018920898
Barranquilla,Ciudad Jardín,Sur Oriente,10.9870004653931,-74.822998046875
Barranquilla,Ciudad Jardín Para Estrenar,Norte Centro Histórico,10.9913339614868,-74.8149223327637
Barranquilla,Ciudad Modesto,No Especificado,10.9662656784058,-74.8291473388672
Barranquilla,Ciudad Modesto,Sur Occidente,10.9649801254272,-74.8248519897461
Barranquilla,Ciudadela 20 De Julio,No Especificado,11.0041074752808,-74.80175422219668
Barranquilla,Ciudadela Metropolitana,No Especificado,10.979546546936,-74.79193369547527
Barranquilla,Ciudadela Veinte De Julio,No Especificado,11.003547668457,-74.81298828125
Barranquilla,Colina Campestre,No Especificado,10.980372428894,-74.8292083740234
Barranquilla,Colinas,No Especificado,10.9798345565796,-74.8318786621094
Barranquilla,Colombia,Metropolitana,10.99099969863895,-74.8030014038086
Barranquilla,Colombia,No Especificado,10.9938879013062,-74.8112487792969
Barranquilla,Colombia,Norte Centro Histórico,10.994230637183575,-74.80400030953545
Barranquilla,Colombia,Sur Occidente,10.996000289917,-74.8040008544922
Barranquilla,Concepción,Metropolitana,11.0081996917725,-74.7936096191406
Barranquilla,Concepción,No Especificado,11.00935516357422,-74.80129547119141
Barranquilla,Concepción,Norte Centro Histórico,11.006222811612218,-74.80029782381924
Barranquilla,Conjunto Residencial Torre De La Macarena,No Especificado,10.9896812438965,-74.7980079650879
Barranquilla,Continentes,No Especificado,10.992568016052198,-74.79798634847003
Barranquilla,Corredor Universitario,No Especificado,11.0170278549194,-74.84352493286136
Barranquilla,Corredor Universitario,Riomar,10.9951810836792,-74.8050003051758
Barranquilla,Costa Hermosa,Metropolitana,10.9829998016357,-74.8300018310547
Barranquilla,Costa Hermosa,No Especificado,11.0332698822021,-74.8249816894531
Barranquilla,Country,No Especificado,11.0044441223145,-74.8030014038086
Barranquilla,Country,Norte Centro Histórico,11.00558018684385,-74.80396842956546
Barranquilla,Country,Riomar,10.996618588765466,-74.8083724975586
Barranquilla,Country Club,Norte Centro Histórico,11.0027904510498,-74.8009719848633
Barranquilla,Country Club Villas,No Especificado,11.0293054580688,-74.8357696533203
Barranquilla,Countrymar,No Especificado,10.976414680481,-74.8062515258789
Barranquilla,Cr 42D N,Norte Centro Histórico,10.9975214004517,-74.8284149169922
Barranquilla,Cuidad Jardin,Sur Oriente,10.9920797348022,-74.8216857910156
Barranquilla,Delicia,No Especificado,10.987942722108631,-74.80601543850369
Barranquilla,Delicia,Norte Centro Histórico,10.98856283270796,-74.80765768197867
Barranquilla,Delicias Olaya,Norte Centro Histórico,10.9905700683594,-74.805305480957
Barranquilla,Dellicias,No Especificado,10.9911909103394,-74.8107528686523
Barranquilla,Desconocido,No Especificado,11.00375986099245,-74.80757141113281
Barranquilla,Edificio Cantaluna,Norte Centro Histórico,10.9900646209717,-74.8254776000977
Barranquilla,El Campito,No Especificado,10.972279548645,-74.79243774414061
Barranquilla,El Carmen,Metropolitana,10.96499967575075,-74.79750061035156
Barranquilla,El Carmen,No Especificado,10.975149888258716,-74.79932697002705
Barranquilla,El Carmen,Norte Centro Histórico,10.965370655059825,-74.79980850219728
Barranquilla,El Carmen,Sur Occidente,10.96434586388725,-74.7984951564244
Barranquilla,El Carmen,Sur Oriente,10.9665002822876,-74.79850006103516
Barranquilla,El Castillo,Metropolitana,11.0179996490479,-74.8050003051758
Barranquilla,El Castillo,No Especificado,11.0212049484253,-74.8041381835938
Barranquilla,El Castillo,Norte Centro Histórico,11.0209999084473,-74.8040008544922
Barranquilla,El Golf,Metropolitana,11.008749961853024,-74.81074905395513
Barranquilla,El Golf,No Especificado,11.007303753118407,-74.81017733168328
Barranquilla,El Golf,Norte Centro Histórico,11.008114332793841,-74.81037886424733
Barranquilla,El Golf,Riomar,11.007953618702118,-74.81044729132401
Barranquilla,El Golf Norte,No Especificado,11.0009336471558,-74.795524597168
Barranquilla,El Golf Riomar,No Especificado,11.0081787109375,-74.809814453125
Barranquilla,El Limón,Riomar,11.0154838562012,-74.8241653442383
Barranquilla,El Paraíso,Riomar,11.014856338501,-74.8102645874023
Barranquilla,El Poblado,Metropolitana,11.008333206176733,-74.8270009358724
Barranquilla,El Poblado,No Especificado,11.004582010466486,-74.82062635750607
Barranquilla,El Poblado,Norte Centro Histórico,11.004848282912668,-74.8244058017073
Barranquilla,El Poblado,Riomar,11.00531120300292,-74.82487311730019
Barranquilla,El Poblado,Sur Occidente,11.0069999694824,-74.8280029296875
Barranquilla,El Poblado La Campina,Metropolitana,10.9985303878784,-74.8251266479492
Barranquilla,El Porvenir,Metropolitana,10.998125369732191,-74.8136479304387
Barranquilla,El Porvenir,No Especificado,10.998626988108564,-74.81448787091728
Barranquilla,El Porvenir,Norte Centro Histórico,10.997734517762156,-74.81220023311785
Barranquilla,El Porvenir,Riomar,10.9964354832967,-74.81170654296875
Barranquilla,El Porvenir,Sur Occidente,10.9965000152588,-74.81049728393555
Barranquilla,El Prado,Metropolitana,10.99933185577393,-74.80099411010741
Barranquilla,El Prado,No Especificado,10.998885575462788,-74.80107026941637
Barranquilla,El Prado,Norte Centro Histórico,10.999710760445431,-74.79942687570232
Barranquilla,El Prado,Riomar,10.996834993362425,-74.80179405212402
Barranquilla,El Prado,Sur Oriente,11.0019998550415,-74.8010025024414
Barranquilla,El Prado Norte,Riomar,11.0047197341919,-74.8150024414063
Barranquilla,El Pueblo,Sur Occidente,10.9787902832031,-74.8463363647461
Barranquilla,El Recreo,Metropolitana,10.98096847534177,-74.80066808064778
Barranquilla,El Recreo,No Especificado,10.98478187926828,-74.8003407040158
Barranquilla,El Recreo,Norte Centro Histórico,10.98369279984504,-74.79928479875836
Barranquilla,El Recreo,Sur Occidente,10.982926623026499,-74.79738820393881
Barranquilla,El Rubí,No Especificado,11.0026006698608,-74.8184509277344
Barranquilla,El Rubí,Sur Occidente,10.9840002059937,-74.8300018310547
Barranquilla,El Tabor,Metropolitana,11.001542772565557,-74.8298568725586
Barranquilla,El Tabor,No Especificado,11.00211546156141,-74.82588085051506
Barranquilla,El Tabor,Norte Centro Histórico,11.001037766856527,-74.82787548127723
Barranquilla,El Tabor,Riomar,11.00157499313354,-74.82938569167565
Barranquilla,El Tabor Sector Miramar,Metropolitana,11.0062770843506,-74.8340606689453
Barranquilla,El Tabor Sector Miramar,Norte Centro Histórico,11.0058183670044,-74.8355407714844
Barranquilla,El Valle,No Especificado,10.969214121500665,-74.81300608317056
Barranquilla,El Valle,Sur Occidente,10.966450214386,-74.8098297119141
Barranquilla,El Valle,Sur Oriente,10.9680004119873,-74.8089981079102
Barranquilla,Golf,No Especificado,11.009141705252913,-74.81070454915366
Barranquilla,Golf,Norte Centro Histórico,11.009490108489981,-74.80992279052735
Barranquilla,Golf,Riomar,11.00798759460448,-74.81001434326171
Barranquilla,Gran,Metropolitana,11.0075197219849,-74.8188400268555
Barranquilla,Granadilla,No Especificado,10.99970197677615,-74.8196601867676
Barranquilla,Granadillo,Metropolitana,10.998666445414235,-74.81733449300127
Barranquilla,Granadillo,No Especificado,11.000188986460365,-74.81870312160916
Barranquilla,Granadillo,Norte Centro Histórico,11.00000726092946,-74.81938516525993
Barranquilla,Granadillo,Riomar,11.000183695838562,-74.81940133231025
Barranquilla,Hipodromo,No Especificado,11.0083961486816,-74.8160552978516
Barranquilla,Juan Mina,No Especificado,10.987774848938,-74.8247299194336
Barranquilla,Kalamari,No Especificado,10.9802265167236,-74.8522109985352
Barranquilla,Km 45 Via,Riomar,10.9829998016357,-74.8300018310547
Barranquilla,La Arboleda,Sur Oriente,10.9729995727539,-74.7839965820313
Barranquilla,La Campiña,Metropolitana,11.00201206207276,-74.82535858154299
Barranquilla,La Campiña,No Especificado,10.999816989898681,-74.81982909655962
Barranquilla,La Campiña,Norte Centro Histórico,11.000527750651035,-74.82297536214192
Barranquilla,La Campiña,Riomar,11.001694862659154,-74.82132381863065
Barranquilla,La Castellana,No Especificado,11.013598626659768,-74.83050492230583
Barranquilla,La Castellana,Norte Centro Histórico,11.010826911926273,-74.82471077114927
Barranquilla,La Castellana,Riomar,11.010197689658717,-74.82942896875844
Barranquilla,La Ceiba,Norte Centro Histórico,10.97556161880495,-74.80317687988284
Barranquilla,La Concepcion,Metropolitana,11.00356836318968,-74.80295410156252
Barranquilla,La Concepcion,No Especificado,11.006557429709089,-74.80007649617023
Barranquilla,La Concepcion,Norte Centro Histórico,11.007747194346244,-74.79828424247906
Barranquilla,La Concepcion,Riomar,11.0079162120819,-74.79721117019653
Barranquilla,La Concepcion,Sur Occidente,11.0050001144409,-74.7959976196289
Barranquilla,La Cumbre,Metropolitana,10.9938513437907,-74.82247416178387
Barranquilla,La Cumbre,No Especificado,10.999072005109095,-74.82633060362281
Barranquilla,La Cumbre,Norte Centro Histórico,10.997377204895024,-74.82668647766114
Barranquilla,La Cumbre,Riomar,10.999040603637688,-74.82735782199437
Barranquilla,La Electrificadora,Riomar,11.014544963836649,-74.81282043457034
Barranquilla,La Floresta,No Especificado,11.022124502393934,-74.80767991807726
Barranquilla,La Floresta,Norte Centro Histórico,11.023677190144866,-74.80809190538196
Barranquilla,La Floresta,Riomar,11.023466587066666,-74.8081970214844
Barranquilla,La Florida,No Especificado,10.9859832127889,-74.82058970133464
Barranquilla,La Florida,Norte Centro Histórico,10.9860000610352,-74.8199996948242
Barranquilla,La Macarena,Sur Occidente,10.9826498031616,-74.81859970092775
Barranquilla,La Pradera,No Especificado,10.97710800170895,-74.84265327453616
Barranquilla,La Pradera,Norte Centro Histórico,10.9770002365112,-74.8420028686523
Barranquilla,La Pradera,Sur Occidente,10.9799499511719,-74.8409271240234
Barranquilla,La Sierra,No Especificado,10.9942560195923,-74.80481338500981
Barranquilla,La Victoria,Metropolitana,11.0069999694824,-74.80521087646487
Barranquilla,La Victoria,No Especificado,10.986006021499623,-74.80021031697592
Barranquilla,La Victoria,Sur Oriente,10.967960357666,-74.80079205830891
Barranquilla,Lago Alto,No Especificado,11.0209217071533,-74.8237380981445
Barranquilla,Lago Alto,Norte Centro Histórico,11.0209999084473,-74.8239974975586
Barranquilla,Las Colinas,No Especificado,10.98459243774415,-74.8270397186279
Barranquilla,Las Colinas,Norte Centro Histórico,10.9797801971436,-74.8318328857422
Barranquilla,Las Cumbres,Norte Centro Histórico,10.9944458007813,-74.8223876953125
Barranquilla,Las Delicias,Metropolitana,10.988445281982434,-74.80598958333337
Barranquilla,Las Delicias,No Especificado,10.987500694062966,-74.80688921610516
Barranquilla,Las Delicias,Norte Centro Histórico,10.988403632090654,-74.8068790075914
Barranquilla,Las Delicias,Sur Occidente,10.987840890884375,-74.80640411376956
Barranquilla,Las Delicias,Sur Oriente,10.9860000610352,-74.8050003051758
Barranquilla,Las Estrellas,Metropolitana,10.9799995422363,-74.8339996337891
Barranquilla,Las Estrellas,No Especificado,10.984981748792867,-74.82838609483507
Barranquilla,Las Estrellas,Norte Centro Histórico,10.9897012710571,-74.82662582397462
Barranquilla,Las Estrellas,Sur Occidente,10.980380058288546,-74.83246751265095
Barranquilla,Las Estrellas Conjunto Las Colinas,No Especificado,10.9769115447998,-74.8347091674805
Barranquilla,Las Estrellas Villa De Las Colinas,No Especificado,10.9769401550293,-74.8348159790039
Barranquilla,Las Mecedes,Metropolitana,10.9856576919556,-74.8173141479492
Barranquilla,Las Mecedes,No Especificado,10.98797645568848,-74.81685333251956
Barranquilla,Las Mecedes,Norte Centro Histórico,10.985991001129175,-74.81602478027342
Barranquilla,Las Mecedes,Sur Occidente,10.9856395721436,-74.8165512084961
Barranquilla,Las Moras 4Ta Etapa,No Especificado,10.9829397201538,-74.81533432006836
Barranquilla,Las Nieves,No Especificado,10.9765205383301,-74.7876777648926
Barranquilla,Las Nieves,Sur Oriente,10.9624271392822,-74.7804183959961
Barranquilla,Las Palmas,No Especificado,11.0041103363037,-74.78965854644778
Barranquilla,Limoncito,Metropolitana,11.018666903177936,-74.80899810791014
Barranquilla,Limoncito,No Especificado,11.019308217366534,-74.81091785430908
Barranquilla,Limoncito,Norte Centro Histórico,11.017932176589987,-74.81337822808159
Barranquilla,Limoncito,Riomar,11.018532931804675,-74.81213617324829
Barranquilla,Loa Andes San Felipe,No Especificado,11.0069456100464,-74.8261260986328
Barranquilla,Los Almendros,No Especificado,10.96681261062625,-74.8174031575521
Barranquilla,Los Alpes,Metropolitana,10.996249914169326,-74.82575035095215
Barranquilla,Los Alpes,No Especificado,10.99764134486517,-74.81916570663452
Barranquilla,Los Alpes,Norte Centro Histórico,10.996480433146164,-74.82350505482067
Barranquilla,Los Alpes,Riomar,10.996617653790652,-74.82384894875919
Barranquilla,Los Alpes Riomar,No Especificado,10.9969711303711,-74.8254165649414
Barranquilla,Los Andes,Metropolitana,10.97450017929075,-74.80400085449219
Barranquilla,Los Andes,No Especificado,10.976266578391748,-74.80395790382667
Barranquilla,Los Andes,Norte Centro Histórico,10.970528534480493,-74.80248859950474
Barranquilla,Los Andes,Sur Occidente,10.97327884038289,-74.80387115478516
Barranquilla,Los Andes,Sur Oriente,10.9689998626709,-74.8030014038086
Barranquilla,Los Angeles,No Especificado,10.9664568901062,-74.84141159057614
Barranquilla,Los Angeles,Sur Occidente,10.9732971191406,-74.8433303833008
Barranquilla,Los Jobos,No Especificado,10.988082408905026,-74.8182544708252
Barranquilla,Los Jobos,Norte Centro Histórico,10.983500003814726,-74.81349945068358
Barranquilla,Los Jobos,Riomar,10.9890003204346,-74.8190002441406
Barranquilla,Los Laureles,Riomar,11.0080003738403,-74.8199996948242
Barranquilla,Los Nogales,Metropolitana,10.9980001449585,-74.822998046875
Barranquilla,Los Nogales,No Especificado,10.995664347773017,-74.82015297629617
Barranquilla,Los Nogales,Norte Centro Histórico,10.991973226720654,-74.82460507479581
Barranquilla,Los Nogales,Riomar,10.998333295186368,-74.82466634114583
Barranquilla,Los Nogales,Sur Oriente,10.9930000305176,-74.8290023803711
Barranquilla,Los Olivos 1 Etapa,No Especificado,10.973240852356,-74.8357543945313
Barranquilla,Los Olivos 2,Sur Occidente,10.9717807769775,-74.8373184204102
Barranquilla,Los Olivos Ii,No Especificado,10.9669637680054,-74.8024139404297
Barranquilla,Los Pinos,Metropolitana,10.9759998321533,-74.7979965209961
Barranquilla,Los Pinos,No Especificado,10.9747292995453,-74.7989845275879
Barranquilla,Los Pinos,Norte Centro Histórico,10.9759998321533,-74.79949951171875
Barranquilla,Los Pinos,Sur Occidente,10.975926399230934,-74.80006154378253
