Y Real,Y Predicho
898000000.0,893746402.0302277
164999000.0,117039971.12456894
1700000000.0,1173939071.6883736
280000000.0,159833818.44593334
250000000.0,193436797.28280497
420000000.0,615764210.5354896
800000000.0,956629243.4928236
361000000.0,419754487.0507307
510000000.0,552276808.8174529
430000000.0,386853168.54324627
235000000.0,275530815.0568075
283000000.0,166269412.88554478
440000000.0,399762118.16945267
320000000.00000006,298082645.08004475
510000000.0,491840725.5149665
200000000.0,159914920.20332336
135000000.0,240732738.98623514
550000000.0,496951606.93911886
350000000.0,608151389.3094997
1200000000.0,1355567347.199351
284000000.0,226316649.10519123
170000000.0,49063090.1409626
258000000.0,225848064.7360468
730000000.0,746516007.4751463
1050000000.0,1195051099.8913126
2300000000.0,1369539554.1762443
320000000.00000006,262773388.43974447
154999999.99999997,156438704.4698391
140000000.0,51223423.70206213
289000000.0,377122167.4347763
695000000.0,753281366.9520206
189900000.0,297161384.3525691
820000000.0,970155600.9478855
850000000.0,812683451.8320274
225000000.0,218420723.3571086
205000000.0,292182246.14055586
695000000.0,723778300.8712502
450000000.0,382661031.9499998
260000000.0,304720614.74854803
200000000.0,296369671.48765945
440000000.0,663554804.0724473
490000000.0,438089175.4714885
280500000.0,533120482.9435067
380000000.0,683504935.9419618
830000000.0,688144513.345643
460000000.0,766624345.9164958
460000000.0,535564204.9738226
240000000.0,236720417.1585865
430000000.0,363988300.2244625
980000000.0,898104006.5223751
380000000.0,465336330.75891685
260000000.0,250494867.6156211
600000000.0,775934852.4868307
440000000.0,536078069.6387973
125000000.0,66874505.590620995
363000000.0,503732920.724967
950000000.0,1176434631.1924257
540000000.0,710402130.8254733
800000000.0,1130888726.8804264
140000000.0,118408826.44056225
185000000.0,124647091.52632284
500000000.0,537435077.759346
225000000.0,313725469.9950609
390000000.0,669218553.3661776
210000000.0,174771721.2728591
100000000.0,17005217.782039165
139990000.0,223098242.72942257
640000000.0000001,776935495.2655888
320000000.00000006,421028602.0328374
1080000000.0,964873758.3634195
370000000.0,527912710.57706976
970000000.0,877440876.7966423
2300000000.0,1451241700.216877
380000000.0,474788783.0241208
250000000.0,399416084.7112179
200000000.0,338725386.6917548
565370600.0,514555531.5457201
500000000.0,695765744.2015448
204999000.0,124275557.04943609
185000000.0,180216855.03108358
154999999.99999997,195396222.8853917
460000000.0,378238908.07072544
850000000.0,808748429.2716274
160000000.00000003,167726850.2616005
370000000.0,494049140.7170925
1100000000.0,836967479.0859871
285000000.0,58396434.43791485
165000000.0,73468347.47128105
1270000000.0,1169556390.0107665
350000000.0,495582831.245965
330000000.0,257527179.57308292
660000000.0,1097541023.2139645
