Y Real,Y Predicho
898000000.0,956850362.4786891
164999000.0,139744006.50843063
1700000000.0,1368684501.1358697
280000000.0,210130100.81630793
250000000.0,235065882.48355544
420000000.0,604391685.6051738
800000000.0,903280931.0121309
361000000.0,331715452.9753649
510000000.0,404483848.329952
430000000.0,329649451.9724992
235000000.0,371396500.59477437
283000000.0,217030472.9679704
440000000.0,469807313.2945912
320000000.00000006,305571412.8886841
510000000.0,365437270.60423684
200000000.0,180077387.71601155
135000000.0,283448172.7962967
550000000.0,476590354.01687527
350000000.0,581604455.9692303
1200000000.0,1473481886.5616863
284000000.0,217308127.97730765
170000000.0,155069600.35038424
258000000.0,229852907.95554915
730000000.0,662923391.0954838
1050000000.0,1212854676.6910143
2300000000.0,1511735698.2167525
320000000.00000006,300277159.1245356
154999999.99999997,149275054.93841964
140000000.0,119318819.36604522
289000000.0,297898443.2619612
695000000.0,694467121.5899782
189900000.0,362961737.69852465
820000000.0,1122003049.5507479
850000000.0,831241489.0686558
225000000.0,189507589.058068
205000000.0,243942880.6502911
695000000.0,679015623.9601537
450000000.0,307361953.8258245
260000000.0,317212094.8258792
200000000.0,416373432.0952971
440000000.0,613354109.9579551
490000000.0,472043622.56248045
280500000.0,516088831.119016
380000000.0,653707544.5532717
830000000.0,710669806.7975106
460000000.0,746035675.9088409
460000000.0,430893125.2163363
240000000.0,215236779.39276668
430000000.0,372223011.93537724
980000000.0,916532246.6268585
380000000.0,401917723.3566461
260000000.0,246834773.65121636
600000000.0,822376569.4485751
440000000.0,523374790.9430133
125000000.0,140066619.42753598
363000000.0,430545842.00087523
950000000.0,1236658723.0477543
540000000.0,629244329.3857347
800000000.0,1167142974.7331483
140000000.0,184161334.81941918
185000000.0,158832515.6104069
500000000.0,441615792.17201316
225000000.0,322815416.23067665
390000000.0,654016184.4361964
210000000.0,231295457.6971954
100000000.0,135895739.26654294
139990000.0,209041359.65619984
640000000.0000001,782615505.1380185
320000000.00000006,396735996.50862765
1080000000.0,969556443.5182102
370000000.0,426552631.6765867
970000000.0,790236956.4769772
2300000000.0,1412486581.2245698
380000000.0,438900111.0306753
250000000.0,358365073.5226808
200000000.0,349835406.85410523
565370600.0,458689863.6590899
500000000.0,786017694.7831633
204999000.0,164410744.20482722
185000000.0,196052462.71973035
154999999.99999997,161642460.54991737
460000000.0,383973574.4836332
850000000.0,658758479.1587368
160000000.00000003,273064604.4519119
370000000.0,395540292.3959885
1100000000.0,805651538.8872522
285000000.0,191246811.65331706
165000000.0,136431563.02859458
1270000000.0,1161168535.164026
350000000.0,463216109.9866086
330000000.0,279139095.7281383
660000000.0,1315498545.4623182
1190000000.0,817819782.535416
470000000.0,575846410.3002442
265000000.00000003,363727250.80156314
1400000000.0,1212458554.9545383
180000000.0,248018436.64852673
540000000.0,573988289.9962753
210000000.0,435816509.5601016
230000000.0,257105500.42974016
1350000000.0,1248290814.1657946
463000000.0,409928435.12011063
325000000.00000006,220771359.36048457
260000000.0,170558979.77587944
295000000.0,335742682.89675844
465000000.0,404654364.3713546
250000000.0,244232408.51871094
440000000.0,500826751.90639853
650000000.0000001,667237912.7399632
480000000.0,300451804.6249898
1050000000.0,1069416514.8858823
250000000.0,237570879.80670017
210000000.0,195861224.19374576
390000000.0,615396695.2214023
145000000.0,151082997.13605687
875000000.0,1518254247.9664378
560000000.0,616173496.5428993
160000000.00000003,475441352.4724356
590000000.0,381132051.3027996
165000000.0,152185036.72515246
240000000.0,210810555.36498806
410000000.0,625831274.0603203
205000000.0,247522152.05203298
145000000.0,131710466.0545907
535000000.0,371768420.987049
290000000.0,277664128.2151947
770000000.0,662958471.0413662
680000000.0,674930248.6674951
225000000.0,199019180.188664
1200000000.0,1068171407.6052591
780000000.0,950291179.4021493
350000000.0,320369305.9959264
480000000.0,383808495.0469712
600000000.0,488532702.15876
250000000.0,219018218.52885887
375000000.0,343253423.50900877
390000000.0,247413151.00840428
285000000.0,166961367.1429868
895000000.0,1151749481.855475
145000000.0,143286451.63865718
430000000.0,375655267.7772466
165000000.0,165134645.50791505
1767220000.0,1145397299.2040095
580000000.0,640971830.5357711
275000000.0,325973915.3976665
290000000.0,261172608.2222046
509900000.0,724867840.7681061
250000000.0,179043714.7361932
676967200.0,694394478.6884042
145000000.0,222061828.97414014
180000000.0,188595158.52201083
230000000.0,184927279.6968164
330000000.0,277470495.3164501
850000000.0,882479667.2892913
450000000.0,469806802.46996707
1075000000.0,985685610.3171762
800000000.0,840577042.0793533
420000000.0,438367796.7405155
245000000.0,311009774.6728028
685000000.0,671494176.5023987
619999999.9999999,764502657.9386624
328000000.0,183954623.52189517
1440000000.0,1414490597.9882903
400000000.0,467339151.4815645
185000000.0,179128604.07323897
154999999.99999997,155173955.10012707
130000000.0,135388860.8421063
320000000.00000006,283785196.86540616
440000000.0,529699086.8252738
270000000.0,326354180.62064976
168000000.0,240144334.79026845
930000000.0,946551948.3226062
190000000.0,382880261.924628
130000000.0,141316841.80619517
290000000.0,405205345.5604556
190000000.0,139797196.25912967
1100000000.0,1441771750.3730254
780000000.0,684386253.0903499
450000000.0,708862937.8001759
350000000.0,298851917.3840554
225000000.0,294574379.23691976
700000000.0,818213025.3098736
590000000.0,667160795.2568337
130000000.0,210066567.55615512
550000000.0,885680116.6094078
220000000.0,245608616.796557
565000000.0,506055867.3753011
154999999.99999997,152756267.66890624
590000000.0,548726901.1834508
630000000.0000001,532595566.6638868
630000000.0000001,788432114.5701462
758000000.0,676728044.4850632
133000000.0,185973862.93837824
236000000.0,224007412.76727012
526049000.0,592329470.0872797
270000000.0,323725820.99004793
320000000.00000006,424376178.925276
280000000.0,471977919.04951733
380000000.0,318066796.0447563
230000000.0,250909736.20581043
390000000.0,350043093.12804365
175000000.0,207750941.02432033
480000000.0,711326329.9098642
150000000.0,166485063.22115976
580000000.0,471176897.17425466
330000000.0,380291286.51871693
170000000.0,214960558.55779168
480000000.0,785947098.0197467
460000000.0,506885370.20893884
290000000.0,295548344.75107265
370000000.0,322190184.91588694
530000000.00000006,503066664.9425087
320000000.00000006,336975875.66913813
1250000000.0,510253005.00629807
360000000.0,272962063.47796935
270000000.0,313209889.4360018
185000000.0,246466017.7324511
1950000000.0,1640933820.2603967
1400000000.0,1309006709.3288305
350000000.0,247736490.6476258
285000000.0,273869108.9382806
1649999999.9999998,1441676492.7538385
270000000.0,483981009.0819963
380000000.0,409949222.0556233
890000000.0,1177316429.9627233
750000000.0,916507801.1942998
200000000.0,231359395.99848512
160000000.00000003,140149184.8005887
680000000.0,386471453.9799848
400000000.0,360833683.64083016
410000000.0,337333474.2144543
780000000.0,1045519067.620666
490000000.0,441674861.61765784
400000000.0,400247197.9984225
175000000.0,246894734.31623727
560000000.0,511513459.24062043
920000000.0,812161060.1460891
1200000000.0,1144629234.402228
340000000.0,293606179.6712903
550000000.0,593350865.4472129
1200000000.0,1443206016.959268
998000000.0,663189631.0645332
570000000.0,803938490.422992
1550000000.0,1142615607.2455413
350000000.0,455854573.21776366
92997000.0,127817503.70882346
230000000.0,218808704.0314999
900000000.0,953049857.4275074
1200000000.0,1176653660.3649697
250000000.0,336127742.36046267
175000000.0,245297831.47257838
380000000.0,569792159.6665024
340000000.0,373142370.14254725
309999999.99999994,273354289.46843207
1980000000.0,1416437292.1462138
510000000.0,676923806.7449573
750000000.0,915104066.9034848
380000000.0,499764247.62248987
450000000.0,767198419.3158184
600000000.0,499002428.5965648
115000000.0,144455112.08606485
750000000.0,1152807257.0149667
145000000.0,121572936.83316733
245000000.0,318829766.1197694
300000000.0,331648892.5023329
350000000.0,401801839.58454484
460000000.0,443709039.6308341
180000000.0,189389533.57216027
1520000000.0,1185548139.8981712
900000000.0,667219381.1852726
409000000.0,451104623.5398608
400000000.0,349932554.94287765
521000000.0,835920068.3479496
750000000.0,1013308517.9358168
595000000.0,794351642.1900736
320000000.00000006,186316591.01590225
330000000.0,232523167.26450863
930000000.0,681910689.234542
1500000000.0,1150109847.550978
280000000.0,218592389.10722086
295000000.0,475081425.9881588
800000000.0,614257557.5951108
271000000.0,239075750.5774793
172000000.0,213165010.86865723
680000000.0,1179152904.8567142
130000000.0,130670866.30270584
450000000.0,457508039.37233734
190000000.0,253944367.73482713
125000000.0,176100981.92826816
275000000.0,243565349.41222054
320000000.00000006,358229432.85830814
240000000.0,200920672.9399822
197000000.0,151970456.79832444
210000000.0,198605936.3287557
185000000.0,170621950.4824628
190000000.0,175980111.3945425
337000000.0,312972157.07611495
510000000.0,680387706.1919987
495000000.0,338185959.0109029
170000000.0,144794305.18581918
450000000.0,587233236.9470628
235000000.0,322467923.12056255
180000000.0,191014177.17852077
281500000.0,285257696.5136472
140000000.0,159424414.28294024
589000000.0,409417490.3546966
475000000.0,486068410.55001736
410000000.0,320096038.4717879
374000000.0,424178029.4692536
110000000.0,113586384.8861306
154999999.99999997,144661774.78882095
260000000.0,265397226.16080657
2200000000.0,1786716145.1559792
235000000.0,366355761.9128719
560000000.0,748154031.1439235
